id,city,district_ID
1,Akarawita,1
2,Athurugiriya,1
3,Avissawella,1
4,Bambalapitiya,1
5,Batawala,1
6,Battaramulla,1
7,Batugampola,1
8,Bope,1
9,Boralesgamuwa,1
10,Borella,1
11,Colpetty,1
12,Dedigamuwa,1
13,Dehiwala,1
14,Deltara,1
15,Fort,1
16,Habarakada,1
17,Handapangoda,1
18,Hanwella,1
19,Havelock Town,1
20,Hewainna,1
21,Hiripitya,1
22,Hokandara,1
23,Homagama,1
24,Horagala,1
25,Kaduwela,1
26,Kahawala,1
27,Kalatuwawa,1
28,Kiriwattuduwa,1
29,Kirulapone,1
30,Kolonnawa,1
31,Kosgama,1
32,Kotahena,1
33,Madapatha,1
34,Maharagama,1
35,Malabe,1
36,Meegoda,1
37,Moratuwa,1
38,Mount Lavinia,1
39,Mullegama,1
40,Mulleriyawa New Town,1
41,Mutwal,1
42,Napawela,1
43,Nugegoda,1
44,Padukka,1
45,Pannipitiya,1
46,Piliyandala,1
47,Pitipana Homagama,1
48,Polgasowita,1
49,Puwakpitiya,1
50,Ranala,1
51,Siddamulla,1
52,Slave Island,1
53,Slave lsland,1
54,Sri Jayawardenepu,1
55,Talawatugoda,1
56,Tummodara,1
57,Waga,1
58,Watareka,1
59,Wellawatta,1
60,Akaragama,2
61,Alawala,2
62,Ambagaspitiya,2
63,Ambepussa,2
64,Andiambalama,2
65,Attanagalla,2
66,Badalgama,2
67,Banduragoda,2
68,Batuwatta,2
69,Bemmulla,2
70,Biyagama,2
71,Biyagama IPZ,2
72,Bokalagama,2
73,Bollete (WP),2
74,Bopagama,2
75,Buthpitiya,2
76,Dagonna,2
77,Danowita,2
78,Debahera,2
79,Dekatana,2
80,Delgoda,2
81,Delwagura,2
82,Demalagama,2
83,Demanhandiya,2
84,Dewalapola,2
85,Divulapitiya,2
86,Divuldeniya,2
87,Dompe,2
88,Dunagaha,2
89,Ekala,2
90,Ellakkala,2
91,Essella,2
92,Gampaha,2
93,Ganemulla,2
94,GonawalaWP,2
95,Heiyanthuduwa,2
96,Henegama,2
97,Hinatiyana Madawala,2
98,Hiswella,2
99,Horampella,2
100,Hunumulla,2
101,Ihala Madampella,2
102,Imbulgoda,2
103,Ja-Ela,2
104,Kadawatha,2
105,Kahatowita,2
106,Kalagedihena,2
107,Kaleliya,2
108,Kaluaggala,2
109,Kandana,2
110,Kapugoda,2
111,Katana,2
112,Katunayake,2
113,Katunayake Air Force Camp,2
114,Katunayake(FTZ),2
115,Katuwellegama,2
116,Kelaniya,2
117,Kimbulapitiya,2
118,Kirindiwela,2
119,Kitalawalana,2
120,Kitulwala,2
121,Kochchikade,2
122,Kotadeniyawa,2
123,Kotugoda,2
124,Kumbaloluwa,2
125,Loluwagoda,2
126,Lunugama,2
127,Mabodale,2
128,Madelgamuwa,2
129,Makewita,2
130,Makola,2
131,Malwana,2
132,Mandawala,2
133,Marandagahamula,2
134,Mellawagedara,2
135,Minuwangoda,2
136,Mirigama,2
137,Mithirigala,2
138,Muddaragama,2
139,Mudungoda,2
140,Naranwala,2
141,Nawana,2
142,Nedungamuwa,2
143,Negombo,2
144,Nikahetikanda,2
145,Nittambuwa,2
146,Niwandama,2
147,Pallewela,2
148,Pamunugama,2
149,Pamunuwatta,2
150,Pasyala,2
151,Peliyagoda,2
152,Pepiliyawala,2
153,Pethiyagoda,2
154,Polpithimukulana,2
155,Pugoda,2
156,Radawadunna,2
157,Radawana,2
158,Raddolugama,2
159,Ragama,2
160,Ruggahawila,2
161,Rukmale,2
162,Seeduwa,2
163,Siyambalape,2
164,Talahena,2
165,Thimbirigaskatuwa,2
166,Tittapattara,2
167,Udathuthiripitiya,2
168,Udugampola,2
169,Uggalboda,2
170,Urapola,2
171,Uswetakeiyawa,2
172,Veyangoda,2
173,Walgammulla,2
174,Walpita,2
175,Walpola (WP),2
176,Wanaluwewa,2
177,Wathurugama,2
178,Watinapaha,2
179,Wattala,2
180,Weboda,2
181,Wegowwa,2
182,Weliveriya,2
183,Weweldeniya,2
184,Yakkala,2
185,Yatiyana(WP),2
186,Agalawatta,3
187,Alubomulla,3
188,Alutgama,3
189,Anguruwatota,3
190,Baduraliya,3
191,Bandaragama,3
192,Bellana,3
193,Beruwala,3
194,Bolossagama,3
195,Bombuwala,3
196,Boralugoda,3
197,Bulathsinhala,3
198,Danawala Thiniyawala,3
199,Delmella,3
200,Dharga Town,3
201,Diwalakada,3
202,Dodangoda,3
203,Dombagoda,3
204,Galpatha,3
205,Gamagoda,3
206,Gonapola Junction,3
207,Govinna,3
208,Gurulubadda,3
209,Halkandawila,3
210,Haltota,3
211,Halwala,3
212,Halwatura,3
213,Hedigalla Colony,3
214,Horana,3
215,Ittapana,3
216,Kalawila Kiranthidiya,3
217,Kalutara,3
218,Kananwila,3
219,Kandanagama,3
220,Kehelwatta,3
221,Kelinkanda,3
222,Kitulgoda,3
223,Koholana,3
224,Kuda Uduwa,3
225,lngiriya,3
226,Maggona,3
227,Mahagama,3
228,Mahakalupahana,3
229,Matugama,3
230,Meegahatenna,3
231,Meegama,3
232,Millaniya,3
233,Millewa,3
234,Miwanapalana,3
235,Molkawa,3
236,Morapitiya,3
237,Morontuduwa,3
238,Nawattuduwa,3
239,Neboda,3
240,Padagoda,3
241,Pahalahewessa,3
242,Paiyagala,3
243,Panadura,3
244,Pannila,3
245,Paragastota,3
246,Paragoda,3
247,Paraigama,3
248,Pelanda,3
249,Pelawatta,3
250,Pokunuwita,3
251,Polgampola,3
252,Poruwedanda,3
253,Remunagoda,3
254,Tebuwana,3
255,Uduwara,3
256,Utumgama,3
257,Veyangalla,3
258,Wadduwa,3
259,Walagedara,3
260,Walallawita,3
261,Waskaduwa,3
262,Welipenna,3
263,Welmilla Junction,3
264,Yagirala,3
265,Yatadolawatta,3
266,Yatawara Junction,3
267,Akurana,4
268,Alawatugoda,4
269,Aludeniya,4
270,Ambagahapelessa,4
271,Ambatenna,4
272,Ampitiya,4
273,Ankumbura,4
274,Atabage,4
275,Balana,4
276,Bambaragahaela,4
277,Barawardhana Oya,4
278,Batagolladeniya,4
279,Batugoda,4
280,Batumulla,4
281,Bawlana,4
282,Bopana,4
283,Danture,4
284,Dedunupitiya,4
285,Dekinda,4
286,Deltota,4
287,Dolapihilla,4
288,Dolosbage,4
289,Doluwa,4
290,Doragamuwa,4
291,Dunuwila,4
292,Ekiriya,4
293,Elamulla,4
294,Etulgama,4
295,Galaboda,4
296,Galagedara,4
297,Galaha,4
298,Galhinna,4
299,Gallellagama,4
300,Gampola,4
301,Gelioya,4
302,Godamunna,4
303,Gomagoda,4
304,Gonagantenna,4
305,Gonawalapatana,4
306,Gunnepana,4
